idx	index	artists	name	danceability
41009	41009	['EXO-K']	중독 Overdose	0.498
4256	4256	['David Bauer']	Great is the Lord	0.524
2185	2185	['Lifehouse']	Breathing	0.503
16049	16049	['Gregory Alan Isakov']	Saint Valentine	0.543
16270	16270	['Green Day']	Revolution Radio	0.419
5307	5307	["Sniff 'n' The Tears"]	Driver's Seat	0.745
37316	37316	['Lil Tjay']	Go In	0.799
18309	18309	['Marshmello']	Find Me	0.557
18009	18009	['Thomas Rhett']	All-American Middle Class White Boy	0.629
28066	28066	['Mac Miller']	Kool Aid and Frozen Pizza	0.724
14658	14658	['Bonobo']	The Plug	0.644
19621	19621	['Amy Beach', 'Joanne Polk']	Young Birches, Op. 128, No. 2	0.240
30198	30198	['Fabolous']	You Be Killin Em	0.664
2879	2879	['Five Finger Death Punch']	Ashes	0.243
3725	3725	['DEAN FUJIOKA']	History Maker	0.397
11098	11098	['Coheed and Cambria']	The Willing Well III: Apollo II: The Telling T...	0.350
36341	36341	['Lenka']	The Show	0.753
4885	4885	['Skillet']	Better Than Drugs	0.394
40	40	['A Perfect Circle']	Renholdër	0.457
19148	19148	['Thousand Foot Krutch']	Step To Me	0.541
34944	34944	['Angus & Julia Stone']	Stay With Me - Live From Spotify Berlin	0.614
7577	7577	['Grupo Pegasso']	Adolescente y Bonita	0.696
12527	12527	['Dean Lewis']	Stay Awake	0.723
37757	37757	['Pet Shop Boys']	Domino Dancing - 2003 Remaster	0.656
12758	12758	['Big Circo']	Yo No Fui	0.741
11722	11722	['Odd Future', 'Hodgy', 'Domo Genesis', 'Tyler...	Rella (feat. Hodgy, Domo Genesis & Tyler, The ...	0.545
707	707	['Big Joe Turner']	Shake, Rattle and Roll	0.612
8311	8311	['Maura Bellucci']	Sagittabondo	0.294
21600	21600	['Timbaland', 'Keri Hilson', 'D.O.E.']	The Way I Are	0.731
28027	28027	['Sarah McLachlan']	When She Loved Me - From "Toy Story 2"	0.272
4223	4223	['Lifeseeker']	Gone Guru	0.541
39660	39660	['Papa Roach']	Dead Cell	0.530
19588	19588	['Rise Against']	The Strength To Go On	0.302
3421	3421	['Bill Withers']	Lean on Me	0.509
12181	12181	['Whitney']	Golden Days	0.389
14300	14300	['Kiya Juliet']	How Could You Play Me	0.788
29773	29773	['Amy Winehouse']	Some Unholy War	0.475
5009	5009	['Kenny Chesney']	Key’s in the Conch Shell	0.834
13325	13325	['Sum 41']	Best Of Me	0.296
25125	25125	['Los Socios Del Ritmo']	Felicidad	0.840
15878	15878	['Aaron Lewis']	The Road	0.632
39623	39623	['Ricardo Arjona']	Sólo Quería un Café	0.415
17374	17374	['Alan Menken']	Enchanted Suite - From "Enchanted"/Score	0.257
25046	25046	['Trippie Redd', 'PARTYNEXTDOOR']	Excitement	0.474
35900	35900	['Modest Mouse']	The View	0.655
37425	37425	['Lil Uzi Vert']	Chrome Heart Tags	0.702
34462	34462	['Billy Currington']	People Are Crazy	0.657
7624	7624	['Eminem']	Rhyme Or Reason	0.845
37004	37004	['Anna Kendrick', 'Justin Timberlake']	True Colors - Film Version	0.377
28021	28021	['Los Inquietos Del Norte']	Locos Desde Ayer	0.667
37947	37947	['Jadakiss']	By Your Side	0.824
140	140	['John Williams']	The Quidditch Match	0.269
30184	30184	['Willie Colón']	Talento De Televisión	0.779
39892	39892	['Ginuwine']	Love You More	0.661
953	953	['Johann Pachelbel', 'Kanon Orchestre de Chamb...	Canon in D	0.151
37499	37499	['Paul Anka']	Diana	0.570
32237	32237	['Keller Williams']	Doobie In My Pocket	0.918
35139	35139	['Finding Hope']	3:00 AM	0.550
37696	37696	['Kenny Chesney']	On the Coast of Somewhere Beautiful	0.596
31959	31959	['Miranda Lambert']	Famous In a Small Town	0.509
389	389	['Conjunto Primavera']	Hazme Olvidarla	0.696
22619	22619	['Dustin Lynch']	Small Town Boy	0.554
26129	26129	['Kenny Chesney']	The Boys of Fall	0.503
30774	30774	['NEEDTOBREATHE']	LET'S STAY HOME TONIGHT	0.548
6878	6878	['Eminem']	Without Me	0.910
2021	2021	['Joyner Lucas']	Revenge	0.844
12793	12793	['Erik Satie', 'Jean-Yves Thibaudet']	Gnossiennes: No. 1 - Lent	0.371
13421	13421	['Town Mountain']	Snowin' On Raton	0.565
4589	4589	['Andre Nickatina']	Conversation With A Devil	0.752
11767	11767	['Imagine Dragons']	My Fault	0.596
23579	23579	['Rodney Atkins']	Cleaning This Gun (Come On In Boy)	0.514
21188	21188	['Staind']	So Far Away	0.407
9242	9242	['The Virgins']	Rich Girls	0.749
1956	1956	['Bastille', 'Alessia Cara']	Another Place	0.685
26622	26622	['A$AP Rocky', 'BONES']	Canal St. (feat. Bones)	0.696
34174	34174	['Mother Mother']	Burning Pile	0.516
